FIP,STNAME,YEAR,MO,POP
01,Alabama,1976,01,"2,605,000   "
02,Alaska,1976,01,"232,000   "
04,Arizona,1976,01,"1,621,000   "
05,Arkansas,1976,01,"1,536,000   "
06,California,1976,01,"15,621,000   "
037,Los Angeles County,1976,01,"5,273,000   "
08,Colorado,1976,01,"1,832,000   "
09,Connecticut,1976,01,"2,248,000   "
10,Delaware,1976,01,"417,000   "
11,District of Columbia,1976,01,"520,000   "
12,Florida,1976,01,"6,421,000   "
13,Georgia,1976,01,"3,522,000   "
15,Hawaii,1976,01,"583,000   "
16,Idaho,1976,01,"580,000   "
17,Illinois,1976,01,"8,127,000   "
18,Indiana,1976,01,"3,789,000   "
19,Iowa,1976,01,"2,066,000   "
20,Kansas,1976,01,"1,635,000   "
21,Kentucky,1976,01,"2,459,000   "
22,Louisiana,1976,01,"2,672,000   "
23,Maine,1976,01,"764,000   "
24,Maryland,1976,01,"2,954,000   "
25,Massachusetts,1976,01,"4,194,000   "
26,Michigan,1976,01,"6,417,000   "
27,Minnesota,1976,01,"2,788,000   "
28,Mississippi,1976,01,"1,640,000   "
29,Missouri,1976,01,"3,464,000   "
30,Montana,1976,01,"531,000   "
31,Nebraska,1976,01,"1,095,000   "
32,Nevada,1976,01,"451,000   "
33,New Hampshire,1976,01,"593,000   "
34,New Jersey,1976,01,"5,358,000   "
35,New Mexico,1976,01,"792,000   "
36,New York,1976,01,"13,196,000   "
51000,New York city,1976,01,"5,694,000   "
37,North Carolina,1976,01,"3,898,000   "
38,North Dakota,1976,01,"442,000   "
39,Ohio,1976,01,"7,701,000   "
40,Oklahoma,1976,01,"1,999,000   "
41,Oregon,1976,01,"1,716,000   "
42,Pennsylvania,1976,01,"8,774,000   "
44,Rhode Island,1976,01,"691,000   "
45,South Carolina,1976,01,"1,984,000   "
46,South Dakota,1976,01,"477,000   "
47,Tennessee,1976,01,"3,078,000   "
48,Texas,1976,01,"8,818,000   "
49,Utah,1976,01,"824,000   "
50,Vermont,1976,01,"339,000   "
51,Virginia,1976,01,"3,534,000   "
53,Washington,1976,01,"2,598,000   "
54,West Virginia,1976,01,"1,352,000   "
55,Wisconsin,1976,01,"3,245,000   "
56,Wyoming,1976,01,"270,000   "
01,Alabama,1976,02,"2,610,000   "
02,Alaska,1976,02,"234,000   "
04,Arizona,1976,02,"1,626,000   "
05,Arkansas,1976,02,"1,538,000   "
06,California,1976,02,"15,657,000   "
037,Los Angeles County,1976,02,"5,283,000   "
08,Colorado,1976,02,"1,837,000   "
09,Connecticut,1976,02,"2,251,000   "
10,Delaware,1976,02,"418,000   "
11,District of Columbia,1976,02,"519,000   "
12,Florida,1976,02,"6,437,000   "
13,Georgia,1976,02,"3,528,000   "
15,Hawaii,1976,02,"585,000   "
16,Idaho,1976,02,"582,000   "
17,Illinois,1976,02,"8,136,000   "
18,Indiana,1976,02,"3,793,000   "
19,Iowa,1976,02,"2,069,000   "
20,Kansas,1976,02,"1,637,000   "
21,Kentucky,1976,02,"2,465,000   "
22,Louisiana,1976,02,"2,678,000   "
23,Maine,1976,02,"766,000   "
24,Maryland,1976,02,"2,958,000   "
25,Massachusetts,1976,02,"4,198,000   "
26,Michigan,1976,02,"6,424,000   "
27,Minnesota,1976,02,"2,793,000   "
28,Mississippi,1976,02,"1,644,000   "
29,Missouri,1976,02,"3,469,000   "
30,Montana,1976,02,"532,000   "
31,Nebraska,1976,02,"1,096,000   "
32,Nevada,1976,02,"454,000   "
33,New Hampshire,1976,02,"595,000   "
34,New Jersey,1976,02,"5,363,000   "
35,New Mexico,1976,02,"795,000   "
36,New York,1976,02,"13,202,000   "
51000,New York city,1976,02,"5,692,000   "
37,North Carolina,1976,02,"3,905,000   "
38,North Dakota,1976,02,"443,000   "
39,Ohio,1976,02,"7,706,000   "
40,Oklahoma,1976,02,"2,003,000   "
41,Oregon,1976,02,"1,720,000   "
42,Pennsylvania,1976,02,"8,780,000   "
44,Rhode Island,1976,02,"692,000   "
45,South Carolina,1976,02,"1,988,000   "
46,South Dakota,1976,02,"478,000   "
47,Tennessee,1976,02,"3,084,000   "
48,Texas,1976,02,"8,844,000   "
49,Utah,1976,02,"826,000   "
50,Vermont,1976,02,"340,000   "
51,Virginia,1976,02,"3,543,000   "
53,Washington,1976,02,"2,604,000   "
54,West Virginia,1976,02,"1,355,000   "
55,Wisconsin,1976,02,"3,248,000   "
56,Wyoming,1976,02,"271,000   "
01,Alabama,1976,03,"2,615,000   "
02,Alaska,1976,03,"236,000   "
04,Arizona,1976,03,"1,631,000   "
05,Arkansas,1976,03,"1,539,000   "
06,California,1976,03,"15,694,000   "
037,Los Angeles County,1976,03,"5,292,000   "
08,Colorado,1976,03,"1,841,000   "
09,Connecticut,1976,03,"2,253,000   "
10,Delaware,1976,03,"418,000   "
11,District of Columbia,1976,03,"519,000   "
12,Florida,1976,03,"6,452,000   "
13,Georgia,1976,03,"3,534,000   "
15,Hawaii,1976,03,"586,000   "
16,Idaho,1976,03,"583,000   "
17,Illinois,1976,03,"8,146,000   "
18,Indiana,1976,03,"3,797,000   "
19,Iowa,1976,03,"2,072,000   "
20,Kansas,1976,03,"1,640,000   "
21,Kentucky,1976,03,"2,470,000   "
22,Louisiana,1976,03,"2,685,000   "
23,Maine,1976,03,"767,000   "
24,Maryland,1976,03,"2,962,000   "
25,Massachusetts,1976,03,"4,201,000   "
26,Michigan,1976,03,"6,430,000   "
27,Minnesota,1976,03,"2,797,000   "
28,Mississippi,1976,03,"1,647,000   "
29,Missouri,1976,03,"3,473,000   "
30,Montana,1976,03,"533,000   "
31,Nebraska,1976,03,"1,097,000   "
32,Nevada,1976,03,"456,000   "
33,New Hampshire,1976,03,"596,000   "
34,New Jersey,1976,03,"5,367,000   "
35,New Mexico,1976,03,"798,000   "
36,New York,1976,03,"13,207,000   "
51000,New York city,1976,03,"5,690,000   "
37,North Carolina,1976,03,"3,912,000   "
38,North Dakota,1976,03,"444,000   "
39,Ohio,1976,03,"7,711,000   "
40,Oklahoma,1976,03,"2,007,000   "
41,Oregon,1976,03,"1,724,000   "
42,Pennsylvania,1976,03,"8,786,000   "
44,Rhode Island,1976,03,"693,000   "
45,South Carolina,1976,03,"1,992,000   "
46,South Dakota,1976,03,"478,000   "
47,Tennessee,1976,03,"3,091,000   "
48,Texas,1976,03,"8,870,000   "
49,Utah,1976,03,"828,000   "
50,Vermont,1976,03,"341,000   "
51,Virginia,1976,03,"3,551,000   "
53,Washington,1976,03,"2,611,000   "
54,West Virginia,1976,03,"1,358,000   "
55,Wisconsin,1976,03,"3,252,000   "
56,Wyoming,1976,03,"272,000   "
01,Alabama,1976,04,"2,620,000   "
02,Alaska,1976,04,"237,000   "
04,Arizona,1976,04,"1,636,000   "
05,Arkansas,1976,04,"1,541,000   "
06,California,1976,04,"15,731,000   "
037,Los Angeles County,1976,04,"5,302,000   "
08,Colorado,1976,04,"1,846,000   "
09,Connecticut,1976,04,"2,255,000   "
10,Delaware,1976,04,"419,000   "
11,District of Columbia,1976,04,"518,000   "
12,Florida,1976,04,"6,468,000   "
13,Georgia,1976,04,"3,540,000   "
15,Hawaii,1976,04,"588,000   "
16,Idaho,1976,04,"585,000   "
17,Illinois,1976,04,"8,155,000   "
18,Indiana,1976,04,"3,801,000   "
19,Iowa,1976,04,"2,075,000   "
20,Kansas,1976,04,"1,642,000   "
21,Kentucky,1976,04,"2,475,000   "
22,Louisiana,1976,04,"2,692,000   "
23,Maine,1976,04,"769,000   "
24,Maryland,1976,04,"2,966,000   "
25,Massachusetts,1976,04,"4,204,000   "
26,Michigan,1976,04,"6,436,000   "
27,Minnesota,1976,04,"2,802,000   "
28,Mississippi,1976,04,"1,650,000   "
29,Missouri,1976,04,"3,477,000   "
30,Montana,1976,04,"534,000   "
31,Nebraska,1976,04,"1,098,000   "
32,Nevada,1976,04,"458,000   "
33,New Hampshire,1976,04,"598,000   "
34,New Jersey,1976,04,"5,372,000   "
35,New Mexico,1976,04,"801,000   "
36,New York,1976,04,"13,213,000   "
51000,New York city,1976,04,"5,689,000   "
37,North Carolina,1976,04,"3,919,000   "
38,North Dakota,1976,04,"444,000   "
39,Ohio,1976,04,"7,716,000   "
40,Oklahoma,1976,04,"2,011,000   "
41,Oregon,1976,04,"1,728,000   "
42,Pennsylvania,1976,04,"8,792,000   "
44,Rhode Island,1976,04,"693,000   "
45,South Carolina,1976,04,"1,996,000   "
46,South Dakota,1976,04,"479,000   "
47,Tennessee,1976,04,"3,097,000   "
48,Texas,1976,04,"8,896,000   "
49,Utah,1976,04,"830,000   "
50,Vermont,1976,04,"341,000   "
51,Virginia,1976,04,"3,559,000   "
53,Washington,1976,04,"2,617,000   "
54,West Virginia,1976,04,"1,360,000   "
55,Wisconsin,1976,04,"3,256,000   "
56,Wyoming,1976,04,"273,000   "
01,Alabama,1976,05,"2,626,000   "
02,Alaska,1976,05,"239,000   "
04,Arizona,1976,05,"1,642,000   "
05,Arkansas,1976,05,"1,542,000   "
06,California,1976,05,"15,768,000   "
037,Los Angeles County,1976,05,"5,311,000   "
08,Colorado,1976,05,"1,850,000   "
09,Connecticut,1976,05,"2,257,000   "
10,Delaware,1976,05,"420,000   "
11,District of Columbia,1976,05,"518,000   "
